idx,error
796, 0.055936
797, 0.036161
798, 0.140399
799, 0.054791
800, 0.035774
801, 0.127001
802, 0.054719
803, 0.035031
804, 0.127114
805, 0.053155
806, 0.038195
807, 0.129609
808, 0.052749
809, 0.037779
810, 0.124050
811, 0.051536
812, 0.034985
813, 0.124247
814, 0.053574
815, 0.035353
816, 0.126743
817, 0.053123
818, 0.036454
819, 0.123942
820, 0.051295
821, 0.034999
822, 0.131486
823, 0.051928
824, 0.038395
825, 0.127603
826, 0.053308
827, 0.033771
828, 0.123393
829, 0.052980
830, 0.031556
831, 0.123669
832, 0.054784
833, 0.030678
834, 0.122088
835, 0.052911
836, 0.031800
837, 0.132637
838, 0.053779
839, 0.031244
840, 0.128609
841, 0.051907
842, 0.032633
843, 0.127268
844, 0.052868
845, 0.029185
846, 0.122785
847, 0.052075
848, 0.031291
849, 0.123394
850, 0.051184
851, 0.030461
852, 0.122369
853, 0.052348
854, 0.028462
855, 0.122315
856, 0.052320
857, 0.028013
858, 0.121362
859, 0.052851
860, 0.031085
861, 0.127343
862, 0.049840
863, 0.029000
864, 0.126024
865, 0.050740
866, 0.027828
867, 0.124967
868, 0.049229
869, 0.029060
870, 0.122958
871, 0.048907
872, 0.028527
873, 0.125219
874, 0.047698
875, 0.027766
876, 0.121520
877, 0.047323
878, 0.027139
879, 0.121846
880, 0.047556
881, 0.030897
882, 0.135642
883, 0.045875
884, 0.026814
885, 0.123449
886, 0.044944
887, 0.029451
888, 0.130786
889, 0.046566
890, 0.031759
891, 0.132577
892, 0.048908
893, 0.028859
894, 0.125394
895, 0.047446
896, 0.025573
897, 0.122013
898, 0.047018
899, 0.028285
900, 0.120406
901, 0.046746
902, 0.031022
903, 0.120502
904, 0.046905
905, 0.026140
906, 0.120315
907, 0.048120
908, 0.026134
909, 0.128981
910, 0.047761
911, 0.024106
912, 0.119809
913, 0.048687
914, 0.025883
915, 0.119980
916, 0.049583
917, 0.026031
918, 0.119427
919, 0.048074
920, 0.023287
921, 0.128700
922, 0.046767
923, 0.024197
924, 0.118200
925, 0.047441
926, 0.024546
927, 0.128462
928, 0.048657
929, 0.024704
930, 0.125091
931, 0.047019
932, 0.023890
933, 0.117981
934, 0.046339
935, 0.025753
936, 0.119241
937, 0.046344
938, 0.024424
939, 0.123082
940, 0.046653
941, 0.024567
942, 0.118026
943, 0.047594
944, 0.023500
945, 0.118392
946, 0.047885
947, 0.025439
948, 0.123611
949, 0.047595
950, 0.023984
951, 0.121980
952, 0.048699
953, 0.023088
954, 0.122729
955, 0.047444
956, 0.024573
957, 0.116767
958, 0.047828
959, 0.021655
960, 0.116649
961, 0.047785
962, 0.027084
963, 0.116864
964, 0.046531
965, 0.022333
966, 0.117077
967, 0.046522
968, 0.022287
969, 0.116753
970, 0.046302
971, 0.022293
972, 0.129447
973, 0.048395
974, 0.023851
975, 0.116754
976, 0.048760
977, 0.025038
978, 0.118432
979, 0.048603
980, 0.025161
981, 0.117687
982, 0.047118
983, 0.023513
984, 0.119232
985, 0.046440
986, 0.023327
987, 0.120657
988, 0.047234
989, 0.021170
990, 0.115192
991, 0.049137
992, 0.020925
993, 0.119943
994, 0.046234
995, 0.025117
996, 0.130068
997, 0.044151
998, 0.027647
999, 0.124798
1000, 0.043102
1001, 0.022566
1002, 0.115836
1003, 0.043291
1004, 0.023681
1005, 0.115571
1006, 0.043749
1007, 0.025117
1008, 0.119554
1009, 0.042144
1010, 0.024435
1011, 0.129131
1012, 0.044569
1013, 0.022530
1014, 0.116381
1015, 0.044959
1016, 0.023571
1017, 0.124178
1018, 0.044467
1019, 0.023460
1020, 0.125614
1021, 0.042680
1022, 0.024089
1023, 0.119400
1024, 0.043491
1025, 0.024370
1026, 0.115869
1027, 0.043988
1028, 0.023836
1029, 0.115446
1030, 0.042051
1031, 0.023752
1032, 0.124194
1033, 0.041697
1034, 0.027037
1035, 0.118064
1036, 0.042016
1037, 0.025579
1038, 0.126771
1039, 0.041122
1040, 0.025414
1041, 0.133314
1042, 0.042558
1043, 0.022948
1044, 0.118008
1045, 0.041139
1046, 0.030333
1047, 0.116536
1048, 0.041925
1049, 0.026897
1050, 0.133815
1051, 0.043769
1052, 0.024084
1053, 0.118482
1054, 0.042760
1055, 0.026548
1056, 0.115493
1057, 0.043136
1058, 0.024066
1059, 0.123999
1060, 0.043380
1061, 0.026816
1062, 0.119538
1063, 0.045344
1064, 0.022161
1065, 0.118484
1066, 0.044806
1067, 0.025902
1068, 0.124361
1069, 0.044288
1070, 0.024793
1071, 0.117237
1072, 0.042968
1073, 0.026239
1074, 0.119821
1075, 0.043661
1076, 0.022354
1077, 0.115040
1078, 0.042526
1079, 0.025063
1080, 0.115538
1081, 0.042255
1082, 0.026987
1083, 0.114907
1084, 0.042155
1085, 0.021198
1086, 0.116664
1087, 0.042122
1088, 0.021114
1089, 0.120801
1090, 0.044529
1091, 0.024518
1092, 0.124428
1093, 0.042245
1094, 0.021348
1095, 0.122953
1096, 0.042902
1097, 0.022962
1098, 0.137639
1099, 0.042491
1100, 0.021764
1101, 0.116782
1102, 0.043153
1103, 0.022599
1104, 0.117187
1105, 0.041537
1106, 0.027314
1107, 0.121277
1108, 0.041471
1109, 0.025829
1110, 0.114005
1111, 0.040224
1112, 0.022760
1113, 0.114112
1114, 0.041989
1115, 0.023714
1116, 0.116872
1117, 0.041962
1118, 0.026047
1119, 0.114206
1120, 0.041016
1121, 0.024810
1122, 0.129386
1123, 0.041483
1124, 0.027372
1125, 0.123677
1126, 0.042796
1127, 0.023966
1128, 0.115454
1129, 0.043131
1130, 0.021889
1131, 0.114464
1132, 0.043697
1133, 0.021465
1134, 0.114658
1135, 0.043377
1136, 0.023265
1137, 0.129456
1138, 0.044091
1139, 0.022740
1140, 0.120517
1141, 0.042566
1142, 0.024191
1143, 0.123180
1144, 0.043401
1145, 0.021812
1146, 0.114877
1147, 0.043204
1148, 0.023908
1149, 0.114043
1150, 0.042392
1151, 0.023334
1152, 0.113323
1153, 0.044015
1154, 0.021985
1155, 0.116421
1156, 0.044277
1157, 0.021778
1158, 0.113691
1159, 0.044675
1160, 0.024283
1161, 0.116316
1162, 0.041850
1163, 0.022853
1164, 0.118292
1165, 0.042687
1166, 0.021582
1167, 0.114170
1168, 0.041579
1169, 0.022490
1170, 0.114617
1171, 0.041893
1172, 0.022671
1173, 0.114204
1174, 0.040743
1175, 0.022027
1176, 0.112606
1177, 0.040259
1178, 0.021787
1179, 0.112776
1180, 0.041146
1181, 0.024275
1182, 0.127125
1183, 0.039564
1184, 0.021547
1185, 0.113779
1186, 0.039083
1187, 0.023985
1188, 0.121706
1189, 0.040535
1190, 0.025546
1191, 0.125251
1192, 0.042344
1193, 0.023293
1194, 0.116631
1195, 0.041618
1196, 0.021381
1197, 0.113426
1198, 0.040435
1199, 0.023893
1200, 0.112214
1201, 0.040889
1202, 0.025878
1203, 0.112138
1204, 0.040593
1205, 0.021518
1206, 0.112257
1207, 0.041565
1208, 0.022222
1209, 0.119742
1210, 0.041174
1211, 0.020882
1212, 0.110891
1213, 0.041914
1214, 0.022309
1215, 0.111209
1216, 0.041441
1217, 0.022886
1218, 0.111456
1219, 0.040664
1220, 0.020919
1221, 0.121969
1222, 0.039884
1223, 0.021726
1224, 0.110256
1225, 0.040477
1226, 0.022038
1227, 0.127032
1228, 0.042310
1229, 0.021977
1230, 0.114568
1231, 0.040909
1232, 0.021808
1233, 0.110565
1234, 0.039972
1235, 0.021996
1236, 0.110932
1237, 0.040519
1238, 0.022126
1239, 0.114392
1240, 0.040541
1241, 0.022473
1242, 0.110551
1243, 0.041516
1244, 0.021734
1245, 0.110960
1246, 0.042171
1247, 0.023474
1248, 0.115094
1249, 0.040966
1250, 0.021664
1251, 0.117826
1252, 0.041775
1253, 0.021710
1254, 0.118924
1255, 0.041356
1256, 0.023276
1257, 0.109649
1258, 0.040661
1259, 0.020805
1260, 0.108812
1261, 0.041693
1262, 0.023730
1263, 0.111699
1264, 0.040608
1265, 0.021191
1266, 0.109544
1267, 0.040750
1268, 0.021444
1269, 0.109969
1270, 0.040896
1271, 0.021513
1272, 0.118468
1273, 0.041345
1274, 0.021482
1275, 0.108553
1276, 0.043131
1277, 0.022572
1278, 0.110371
1279, 0.042768
1280, 0.023163
1281, 0.109252
1282, 0.041114
1283, 0.021869
1284, 0.113628
1285, 0.040847
1286, 0.022819
1287, 0.111143
1288, 0.040569
1289, 0.021066
1290, 0.108995
1291, 0.043677
1292, 0.020915
1293, 0.113764
1294, 0.040563
1295, 0.022643
1296, 0.121956
1297, 0.039068
1298, 0.024974
1299, 0.113153
1300, 0.038313
1301, 0.022378
1302, 0.108554
1303, 0.038562
1304, 0.022649
1305, 0.108361
1306, 0.038708
1307, 0.022712
1308, 0.109450
1309, 0.037284
1310, 0.023715
1311, 0.119263
1312, 0.039418
1313, 0.022780
1314, 0.109672
1315, 0.038858
1316, 0.023220
1317, 0.119418
1318, 0.038911
1319, 0.023175
1320, 0.117752
1321, 0.038344
1322, 0.024682
1323, 0.114885
1324, 0.037933
1325, 0.023549
1326, 0.107944
1327, 0.038949
1328, 0.022888
1329, 0.108688
1330, 0.037202
1331, 0.023783
1332, 0.116022
1333, 0.037546
1334, 0.025937
1335, 0.108893
1336, 0.037080
1337, 0.025041
1338, 0.121517
1339, 0.037632
1340, 0.023471
1341, 0.128087
1342, 0.038391
1343, 0.022993
1344, 0.109012
1345, 0.037568
1346, 0.026881
1347, 0.112059
1348, 0.038499
1349, 0.025378
1350, 0.127279
1351, 0.039618
1352, 0.023342
1353, 0.115030
1354, 0.038851
1355, 0.023991
1356, 0.109272
1357, 0.039958
1358, 0.021584
1359, 0.118319
1360, 0.040247
1361, 0.023026
1362, 0.115143
1363, 0.041550
1364, 0.022187
1365, 0.108905
1366, 0.041399
1367, 0.022222
1368, 0.118371
1369, 0.040804
1370, 0.022224
1371, 0.107952
1372, 0.039152
1373, 0.022343
1374, 0.114398
1375, 0.040186
1376, 0.023364
1377, 0.107575
1378, 0.039590
1379, 0.024557
1380, 0.107783
1381, 0.038037
1382, 0.024029
1383, 0.107066
1384, 0.038889
1385, 0.022137
1386, 0.107522
1387, 0.037830
1388, 0.021689
1389, 0.114836
1390, 0.039530
1391, 0.022678
1392, 0.111500
1393, 0.040205
1394, 0.023000
1395, 0.115640
1396, 0.039134
1397, 0.021923
1398, 0.128821
1399, 0.038633
1400, 0.022821
1401, 0.108134
1402, 0.039636
1403, 0.022939
1404, 0.109994
1405, 0.038942
