kl,wkl
9, -0.142212
1, -0.123626
2, -0.269232
3, -0.042280
4, -0.738473
5, -0.465569
6, -0.128398
7, 0.699485
8, 0.193857
9, -0.157194
1, -0.132242
2, -0.279036
3, -0.024182
4, -0.753630
5, -0.482816
6, -0.096563
7, 0.697040
8, 0.191074
9, -0.152058
1, -0.110739
2, -0.289580
3, -0.039366
4, -0.721843
5, -0.498402
6, -0.119009
7, 0.704506
8, 0.187413
9, -0.157330
1, -0.130393
2, -0.267245
3, -0.056794
4, -0.731791
5, -0.487098
6, -0.127830
7, 0.689904
8, 0.204007
9, -0.170279
1, -0.138611
2, -0.276572
3, -0.038823
4, -0.746806
5, -0.504139
6, -0.094996
7, 0.687772
8, 0.201587
9, -0.165616
1, -0.117613
2, -0.288017
3, -0.054283
4, -0.722081
5, -0.517616
6, -0.113200
7, 0.694877
8, 0.197715
9, -0.170847
1, -0.138149
2, -0.265526
3, -0.071582
4, -0.732175
5, -0.506560
6, -0.121704
7, 0.677377
8, 0.216881
9, -0.185589
1, -0.145944
2, -0.274440
3, -0.053680
4, -0.746879
5, -0.523376
6, -0.087933
7, 0.675550
8, 0.214792
9, -0.181394
1, -0.124526
2, -0.285186
3, -0.068902
4, -0.718144
5, -0.537793
6, -0.108355
7, 0.682935
8, 0.211087
9, -0.186643
1, -0.143366
2, -0.262790
3, -0.085795
4, -0.728851
5, -0.525064
6, -0.117956
7, 0.669230
8, 0.227379
9, -0.198931
1, -0.151286
2, -0.271610
3, -0.067694
4, -0.743667
5, -0.541565
6, -0.084093
7, 0.667244
8, 0.225167
9, -0.194391
1, -0.129824
2, -0.282712
3, -0.083057
4, -0.716924
5, -0.555399
6, -0.103237
7, 0.675328
8, 0.220985
9, -0.200178
1, -0.148258
2, -0.260345
3, -0.099653
4, -0.728019
5, -0.541937
6, -0.113226
7, 0.661960
8, 0.237206
9, -0.212214
1, -0.156549
2, -0.269322
3, -0.081569
4, -0.742699
5, -0.557831
6, -0.081207
7, 0.659944
8, 0.235023
9, -0.207817
1, -0.134426
2, -0.281632
3, -0.097576
4, -0.718394
5, -0.571356
6, -0.098793
7, 0.672252
8, 0.228174
9, -0.216722
1, -0.153899
2, -0.258915
3, -0.114065
4, -0.729828
5, -0.558017
6, -0.108474
7, 0.655994
8, 0.247140
9, -0.230488
1, -0.162043
2, -0.267700
3, -0.096097
4, -0.744249
5, -0.573572
6, -0.076658
7, 0.654184
8, 0.245187
9, -0.226494
1, -0.139877
2, -0.279148
3, -0.111740
4, -0.718175
5, -0.587039
6, -0.095060
7, 0.663358
8, 0.240449
9, -0.232969
1, -0.158737
2, -0.256852
3, -0.128059
4, -0.728298
5, -0.575071
6, -0.103819
7, 0.649462
8, 0.256877
9, -0.244993
1, -0.167320
2, -0.265791
3, -0.109461
4, -0.743043
5, -0.590428
6, -0.071868
7, 0.647096
8, 0.254414
9, -0.239868
1, -0.145931
2, -0.276156
3, -0.124321
4, -0.714966
5, -0.604034
6, -0.091375
7, 0.654105
8, 0.251017
9, -0.244737
1, -0.165764
2, -0.253653
3, -0.140485
4, -0.725306
5, -0.592302
6, -0.099802
7, 0.637280
8, 0.270108
9, -0.258449
1, -0.173714
2, -0.261973
3, -0.122006
4, -0.739923
5, -0.607598
6, -0.065827
7, 0.635217
8, 0.267949
9, -0.253655
1, -0.151867
2, -0.272610
3, -0.136993
4, -0.711432
5, -0.621471
6, -0.085372
7, 0.644926
8, 0.263223
9, -0.260315
1, -0.170057
2, -0.250176
3, -0.152896
4, -0.722275
5, -0.608097
6, -0.094852
7, 0.631756
8, 0.279465
9, -0.271828
1, -0.178114
2, -0.258485
3, -0.134628
4, -0.736692
5, -0.622965
6, -0.062166
7, 0.629886
8, 0.277536
9, -0.267587
1, -0.155991
2, -0.268781
3, -0.149616
4, -0.707071
5, -0.636751
6, -0.082234
7, 0.638496
8, 0.273529
9, -0.273420
1, -0.174986
2, -0.246641
3, -0.165465
4, -0.716446
5, -0.625823
6, -0.090057
7, 0.624355
8, 0.290011
9, -0.285219
1, -0.182941
2, -0.254679
3, -0.147037
4, -0.730962
5, -0.640489
6, -0.056432
7, 0.622455
8, 0.288091
9, -0.280817
1, -0.160597
2, -0.264850
3, -0.162006
4, -0.700580
5, -0.654319
6, -0.076787
7, 0.631701
8, 0.283882
9, -0.287012
1, -0.179153
2, -0.242673
3, -0.177579
4, -0.710586
5, -0.642361
6, -0.085184
7, 0.617913
8, 0.300360
9, -0.298583
1, -0.187457
2, -0.250867
3, -0.159175
4, -0.725067
5, -0.656650
6, -0.053090
7, 0.615983
8, 0.298456
9, -0.294305
1, -0.164855
2, -0.262536
3, -0.174463
4, -0.699185
5, -0.670012
6, -0.070596
7, 0.628664
8, 0.291909
9, -0.302883
1, -0.183754
2, -0.240385
3, -0.189884
